Iteration,Interval,Density
164000,2;2.5,114.999
164000,2.5;3,97.5917
164000,3;3.5,92.2297
164000,3.5;4,80.3836
164000,4;4.5,72.8123
164000,4.5;5,63.9909
164000,5;5.5,56.4245
164000,5.5;6,48.6653
164000,6;6.5,41.8499
164000,6.5;7,34.9745
164000,7;7.5,29.5196
164000,7.5;8,23.607
164000,8;8.5,18.4581
164000,8.5;9,13.7992
164000,9;9.5,9.30754
164000,9.5;10,6.06937
164000,10;10.5,3.68947
164000,10.5;11,2.16322
164000,11;11.5,1.16679
164000,11.5;12,0.5982
164000,12;12.5,0.264051
164000,12.5;13,0.0959335
164000,13;13.5,0.0407896
164000,13.5;14,0.0126258
164000,14;14.5,0.00391846
164000,14.5;15,0.000731467
164000,15;15.5,0.000684292
164000,15.5;16,0
165000,0;0.5,0
165000,0.5;1,27.8294
165000,1;1.5,176.913
165000,1.5;2,107.365
165000,2;2.5,114.341
165000,2.5;3,96.1016
165000,3;3.5,89.9288
165000,3.5;4,78.1686
165000,4;4.5,70.3744
165000,4.5;5,62.5743
165000,5;5.5,55.1378
165000,5.5;6,47.8956
165000,6;6.5,41.2025
165000,6.5;7,35.2957
165000,7;7.5,29.4348
165000,7.5;8,24.0573
165000,8;8.5,19.1407
165000,8.5;9,14.192
165000,9;9.5,9.71852
165000,9.5;10,6.40916
165000,10;10.5,3.8485
165000,10.5;11,2.37114
165000,11;11.5,1.22085
165000,11.5;12,0.662745
165000,12;12.5,0.283138
165000,12.5;13,0.113554
165000,13;13.5,0.0326317
165000,13.5;14,0.0159927
165000,14;14.5,0.00313477
165000,14.5;15,0.00146293
165000,15;15.5,0
165000,15.5;16,0
166000,0;0.5,0
166000,0.5;1,30.2849
166000,1;1.5,178.723
166000,1.5;2,107.83
166000,2;2.5,117.034
166000,2.5;3,98.1164
166000,3;3.5,92.5906
166000,3.5;4,80.9826
166000,4;4.5,72.8299
166000,4.5;5,64.6815
166000,5;5.5,56.5745
166000,5.5;6,49.0213
166000,6;6.5,41.8907
166000,6.5;7,35.2119
166000,7;7.5,29.45
166000,7.5;8,23.5991
166000,8;8.5,18.6521
166000,8.5;9,13.6018
166000,9;9.5,9.43772
166000,9.5;10,5.86014
166000,10;10.5,3.53195
166000,10.5;11,2.07234
166000,11;11.5,1.07878
166000,11.5;12,0.561317
166000,12;12.5,0.219512
166000,12.5;13,0.101807
166000,13;13.5,0.0308188
166000,13.5;14,0.0092589
166000,14;14.5,0.00313477
166000,14.5;15,0.000731467
166000,15;15.5,0
166000,15.5;16,0
167000,0;0.5,0
167000,0.5;1,27.5565
167000,1;1.5,181.035
167000,1.5;2,108.139
167000,2;2.5,117.315
167000,2.5;3,101.747
167000,3;3.5,92.2748
167000,3.5;4,83.0393
167000,4;4.5,73.1115
167000,4.5;5,64.8577
167000,5;5.5,56.9034
167000,5.5;6,48.7856
167000,6;6.5,42.2124
167000,6.5;7,35.2748
167000,7;7.5,29.3047
167000,7.5;8,23.4428
167000,8;8.5,18.1402
167000,8.5;9,13.4168
167000,9;9.5,9.12716
167000,9.5;10,5.86683
167000,10;10.5,3.58345
167000,10.5;11,2.02966
167000,11;11.5,1.1341
167000,11.5;12,0.559011
167000,12;12.5,0.234358
167000,12.5;13,0.0910389
167000,13;13.5,0.0362574
167000,13.5;14,0.0109423
167000,14;14.5,0.00156739
167000,14.5;15,0.000731467
167000,15;15.5,0
167000,15.5;16,0
168000,0;0.5,0
168000,0.5;1,30.0121
168000,1;1.5,177.516
168000,1.5;2,113.817
168000,2;2.5,117.942
168000,2.5;3,100.74
168000,3;3.5,92.1545
168000,3.5;4,82.2483
168000,4;4.5,72.7771
168000,4.5;5,65.4708
168000,5;5.5,56.1014
168000,5.5;6,49.3533
168000,6;6.5,42.3468
168000,6.5;7,35.3446
168000,7;7.5,29.5075
168000,7.5;8,23.2945
168000,8;8.5,18.3763
168000,8.5;9,13.5394
168000,9;9.5,9.03045
168000,9.5;10,5.81997
168000,10;10.5,3.50469
168000,10.5;11,1.99523
168000,11;11.5,1.08632
168000,11.5;12,0.529044
168000,12;12.5,0.237539
168000,12.5;13,0.0802709
168000,13;13.5,0.0362574
168000,13.5;14,0.0092589
168000,14;14.5,0.00313477
168000,14.5;15,0
168000,15;15.5,0
168000,15.5;16,0
169000,0;0.5,0
169000,0.5;1,26.4652
169000,1;1.5,181.839
169000,1.5;2,107.159
169000,2;2.5,120.071
169000,2.5;3,97.8645
169000,3;3.5,92.4853
169000,3.5;4,82.0222
169000,4;4.5,72.2754
169000,4.5;5,64.9916
169000,5;5.5,55.9918
169000,5.5;6,48.8962
169000,6;6.5,41.7237
169000,6.5;7,35.2154
169000,7;7.5,29.4712
169000,7.5;8,23.8083
169000,8;8.5,18.3739
169000,8.5;9,13.6787
169000,9;9.5,9.25733
169000,9.5;10,5.87353
169000,10;10.5,3.65009
169000,10.5;11,2.05995
169000,11;11.5,1.13158
169000,11.5;12,0.537112
169000,12;12.5,0.236479
169000,12.5;13,0.0910389
169000,13;13.5,0.0317252
169000,13.5;14,0.0109423
169000,14;14.5,0.00235108
169000,14.5;15,0.000731467
169000,15;15.5,0
169000,15.5;16,0
170000,0;0.5,0
170000,0.5;1,22.6455
170000,1;1.5,181.236
170000,1.5;2,109.327
170000,2;2.5,116.721
170000,2.5;3,99.0398
170000,3;3.5,89.628
170000,3.5;4,80.8243
170000,4;4.5,72.0026
170000,4.5;5,63.5751
170000,5;5.5,55.6975
170000,5.5;6,48.7423
170000,6;6.5,42.0739
170000,6.5;7,35.4598
170000,7;7.5,29.4288
170000,7.5;8,23.8216
170000,8;8.5,18.8718
170000,8.5;9,13.8283
170000,9;9.5,9.32242
170000,9.5;10,6.11791
170000,10;10.5,3.56073
170000,10.5;11,2.16598
170000,11;11.5,1.10769
170000,11.5;12,0.583216
170000,12;12.5,0.221633
170000,12.5;13,0.0988702
170000,13;13.5,0.0317252
170000,13.5;14,0.00673375
170000,14;14.5,0.00235108
170000,14.5;15,0
170000,15;15.5,0
170000,15.5;16,0
171000,0;0.5,0
171000,0.5;1,25.6467
171000,1;1.5,181.738
171000,1.5;2,109.791
171000,2;2.5,117.535
171000,2.5;3,98.6831
171000,3;3.5,91.3424
171000,3.5;4,81.6267
171000,4;4.5,72.4338
171000,4.5;5,64.9352
171000,5;5.5,55.5417
171000,5.5;6,49.4735
