Iteration,Interval,Density
168000,13;13.5,0.0380703
168000,13.5;14,0.0134675
168000,14;14.5,0.00235108
168000,14.5;15,0.000731467
168000,15;15.5,0
168000,15.5;16,0
169000,0;0.5,0
169000,0.5;1,48.2922
169000,1;1.5,174.3
169000,1.5;2,115.676
169000,2;2.5,117.879
169000,2.5;3,101.558
169000,3;3.5,94.1395
169000,3.5;4,82.5082
169000,4;4.5,74.4933
169000,4.5;5,65.9923
169000,5;5.5,57.0823
169000,5.5;6,49.6612
169000,6;6.5,42.0943
169000,6.5;7,35.2259
169000,7;7.5,29.3773
169000,7.5;8,22.8892
169000,8;8.5,18.2921
169000,8.5;9,13.288
169000,9;9.5,8.88912
169000,9.5;10,5.62915
169000,10;10.5,3.34718
169000,10.5;11,1.98972
169000,11;11.5,1.03854
169000,11.5;12,0.531349
169000,12;12.5,0.241781
169000,12.5;13,0.09006
169000,13;13.5,0.0335381
169000,13.5;14,0.0151509
169000,14;14.5,0.00235108
169000,14.5;15,0
169000,15;15.5,0
169000,15.5;16,0
170000,0;0.5,0
170000,0.5;1,42.8354
170000,1;1.5,176.913
170000,1.5;2,113.249
170000,2;2.5,117.785
170000,2.5;3,102.188
170000,3;3.5,92.9064
170000,3.5;4,82.6212
170000,4;4.5,73.3316
170000,4.5;5,65.1114
170000,5;5.5,57.0361
170000,5.5;6,49.1031
170000,6;6.5,42.3345
170000,6.5;7,35.8893
170000,7;7.5,29.5045
170000,7.5;8,23.2945
170000,8;8.5,18.3646
170000,8.5;9,13.3275
170000,9;9.5,9.1253
170000,9.5;10,5.55215
170000,10;10.5,3.40927
170000,10.5;11,1.93878
170000,11;11.5,1.02094
170000,11.5;12,0.48755
170000,12;12.5,0.213149
170000,12.5;13,0.0812498
170000,13;13.5,0.0217544
170000,13.5;14,0.00757547
170000,14;14.5,0.000783693
170000,14.5;15,0
170000,15;15.5,0
170000,15.5;16,0
171000,0;0.5,0
171000,0.5;1,45.0181
171000,1;1.5,171.385
171000,1.5;2,110.978
171000,2;2.5,116.439
171000,2.5;3,100.719
171000,3;3.5,91.177
171000,3.5;4,82.2483
171000,4;4.5,72.3106
171000,4.5;5,64.5265
171000,5;5.5,55.9052
171000,5.5;6,49.1801
171000,6;6.5,42.1391
171000,6.5;7,35.6449
171000,7;7.5,29.4651
171000,7.5;8,23.766
171000,8;8.5,18.7035
171000,8.5;9,13.6205
171000,9;9.5,9.34102
171000,9.5;10,5.90366
171000,10;10.5,3.44865
171000,10.5;11,1.96218
171000,11;11.5,1.07375
171000,11.5;12,0.485245
171000,12;12.5,0.203605
171000,12.5;13,0.0763552
171000,13;13.5,0.0244738
171000,13.5;14,0.00420859
171000,14;14.5,0.00391846
171000,14.5;15,0
171000,15;15.5,0
171000,15.5;16,0
172000,0;0.5,0
172000,0.5;1,43.6539
172000,1;1.5,170.078
172000,1.5;2,112.217
172000,2;2.5,115.875
172000,2.5;3,101.076
172000,3;3.5,91.4176
172000,3.5;4,82.3952
172000,4;4.5,73.3316
172000,4.5;5,65.196
172000,5;5.5,55.9168
172000,5.5;6,49.5553
172000,6;6.5,41.8174
172000,6.5;7,35.7636
172000,7;7.5,28.8991
172000,7.5;8,24.0573
172000,8;8.5,18.2454
172000,8.5;9,13.7285
172000,9;9.5,9.19038
172000,9.5;10,5.84842
172000,10;10.5,3.41079
172000,10.5;11,2.02415
172000,11;11.5,1.06117
172000,11.5;12,0.503686
172000,12;12.5,0.221633
172000,12.5;13,0.0802709
172000,13;13.5,0.0280995
