Iteration,Bin,Density,Velocity X,Velocity Y,Velocity Z
70000,8,0.5,-0.255483,-9.43985,-0.141909
70000,9,0.481481,0.0763797,-10.3364,0.728676
70000,10,0.625,0.000701643,-10.1983,-0.0403793
70000,11,0.564815,0.114698,-10.7072,0.0275469
70000,12,0.523148,0.287411,-11.8162,0.425389
70000,13,0.583333,0.0374846,-14.2214,0.124419
70000,14,0.518519,-0.69942,-12.4981,0.317176
70000,15,0.643519,-0.0713972,-13.6546,0.379466
70000,16,0.606481,0.161136,-15.2041,1.12166
70000,17,0.703704,0.247603,-14.9226,-0.209755
70000,18,0.592593,0.536764,-16.2344,0.708354
70000,19,0.62037,0.17932,-16.2052,0.100706
70000,20,0.62963,-0.773575,-16.2464,-0.720058
70000,21,0.597222,-0.0512495,-16.2565,-0.892772
70000,22,0.62037,-0.207988,-15.9791,0.604431
70000,23,0.689815,-0.409238,-16.3902,-0.0474962
70000,24,0.574074,-1.00039,-15.7939,-0.462531
70000,25,0.625,-0.122679,-17.3668,-0.692954
70000,26,0.680556,-0.200104,-16.4361,0.470756
70000,27,0.643519,-1.11984,-16.009,-0.512097
70000,28,0.652778,-0.65663,-16.7446,0.278746
70000,29,0.606481,-1.12118,-16.9232,0.313001
70000,30,0.615741,-0.848926,-14.9012,0.181941
70000,31,0.652778,-1.01246,-15.2714,0.548688
70000,32,0.583333,0.679161,-14.6317,0.190699
70000,33,0.569444,0.735867,-14.6569,-0.335774
70000,34,0.597222,1.20154,-13.2931,0.228033
70000,35,0.546296,-0.360378,-13.0105,-0.943274
70000,36,0.550926,0.840161,-11.7786,0.733942
70000,37,0.601852,-0.0983905,-13.0721,0.219592
70000,38,0.569444,-0.456111,-10.5472,-0.123147
70000,39,0.555556,0.618037,-10.89,-0.313851
70000,40,0.50463,1.49411,-10.0355,-0.0245092
70000,41,0.49537,0.182533,-8.51885,1.03783
70000,42,0.523148,0.849424,-7.05642,-0.767909
70000,43,0.601852,0.180146,-6.4873,-1.27543
70000,44,0.0601852,-0.175713,-2.54438,3.27088
70000,45,1.66667,0,0,0
70000,46,-,-,-,-
70000,47,1.66667,0,0,0
70000,48,-,-,-,-
70000,49,-,-,-,-
80000,0,-,-,-,-
80000,1,1.66667,0,0,0
80000,2,-,-,-,-
80000,3,1.66667,0,0,0
80000,4,0.300926,-0.733414,-6.68832,-0.678547
80000,5,0.49537,1.526,-8.28719,0.000217575
80000,6,0.472222,-0.877248,-7.51885,-0.419436
80000,7,0.546296,-0.246125,-10.168,-0.300826
80000,8,0.509259,-0.157214,-9.29783,0.20908
80000,9,0.537037,-0.250561,-11.0384,0.170754
80000,10,0.509259,0.694823,-11.8281,0.267127
80000,11,0.564815,-0.341523,-13.1556,-0.325865
80000,12,0.601852,1.04026,-13.8128,0.0447328
80000,13,0.541667,0.282576,-13.2031,0.223048
80000,14,0.601852,-0.492473,-15.4519,0.109883
80000,15,0.546296,-0.803276,-14.9739,-0.0650378
80000,16,0.611111,0.506427,-16.1406,-0.0639935
80000,17,0.597222,0.718734,-16.9538,-0.0136752
80000,18,0.634259,0.468635,-16.2401,0.10737
80000,19,0.638889,-0.8908,-17.3422,0.511472
80000,20,0.657407,1.09095,-17.2565,0.429552
80000,21,0.666667,-0.177658,-16.865,0.00945474
80000,22,0.638889,0.0821007,-18.0021,-0.28321
80000,23,0.675926,0.216149,-17.7686,0.609208
80000,24,0.666667,-0.203284,-18.4777,-0.192829
80000,25,0.601852,-0.0909283,-17.8947,0.127658
80000,26,0.62037,0.299548,-16.9705,-0.462483
80000,27,0.680556,0.0588273,-17.4979,0.0738724
80000,28,0.578704,0.737386,-16.9246,0.344835
80000,29,0.666667,0.782709,-17.1777,0.169296
80000,30,0.615741,0.59874,-16.6425,-0.41611
80000,31,0.699074,-0.570492,-15.8478,-0.530116
80000,32,0.518519,-0.933858,-16.7901,0.512927
80000,33,0.662037,0.00628575,-15.444,-0.730231
80000,34,0.537037,0.0611183,-14.1843,-0.123127
80000,35,0.550926,0.0444194,-14.3114,-0.229878
80000,36,0.597222,0.248675,-13.2052,0.801752
80000,37,0.481481,0.0979301,-12.6797,0.235484
80000,38,0.564815,-0.867213,-10.6709,0.680134
80000,39,0.592593,0.400272,-11.1774,-0.492878
80000,40,0.467593,-1.16746,-9.54588,-0.308481
80000,41,0.555556,0.466992,-8.29589,0.416495
80000,42,0.486111,0.424,-8.55963,-0.476843
80000,43,0.574074,0.885574,-6.89623,-0.197489
80000,44,0.0833333,1.80458,-4.27616,0.345283
80000,45,1.66667,0,0,0
80000,46,-,-,-,-
80000,47,1.66667,0,0,0
80000,48,-,-,-,-
80000,49,-,-,-,-
90000,0,-,-,-,-
90000,1,1.66667,0,0,0
90000,2,-,-,-,-
90000,3,1.66667,0,0,0
90000,4,0.263889,0.678447,-6.32817,-1.08584
90000,5,0.532407,0.925779,-6.02229,-1.24159
90000,6,0.513889,0.469941,-8.90166,0.646998
90000,7,0.532407,0.401787,-11.6139,-0.759182
90000,8,0.509259,0.571074,-10.482,0.910848
90000,9,0.546296,-0.0523406,-12.291,1.02947
90000,10,0.541667,-0.127482,-11.7568,1.23505
90000,11,0.611111,0.132967,-13.0007,-0.67389
90000,12,0.509259,-0.455305,-14.741,0.000672752
90000,13,0.462963,-0.0518582,-14.953,0.164517
90000,14,0.662037,0.737421,-17.2808,-0.0637044
90000,15,0.601852,0.102542,-16.286,0.607149
90000,16,0.597222,-0.280846,-17.4256,-0.539922
90000,17,0.634259,0.0662714,-17.3431,-0.556201
90000,18,0.625,0.239925,-17.4915,0.0246652
90000,19,0.638889,-0.304846,-18.6755,-0.165285
90000,20,0.657407,-0.271792,-18.7939,0.056535
90000,21,0.634259,0.0318172,-19.1158,0.614652
90000,22,0.597222,-0.228558,-17.9043,-0.161792
90000,23,0.638889,-0.283853,-18.4278,-0.174682
90000,24,0.703704,0.47923,-19.0068,0.411082
90000,25,0.574074,0.231346,-18.5114,0.541646
90000,26,0.675926,-0.52853,-18.7697,-0.465227
90000,27,0.634259,-0.520127,-17.9475,-0.672678
90000,28,0.615741,-0.55478,-17.8175,-0.317761
90000,29,0.680556,0.130875,-17.7407,-0.0609959
90000,30,0.648148,0.209796,-18.2785,0.46566
90000,31,0.560185,-0.421395,-17.2369,0.0280941
90000,32,0.666667,-0.286849,-16.6683,-0.305301
90000,33,0.578704,-0.0472636,-15.5758,0.318944
90000,34,0.550926,-0.494274,-15.4404,0.273066
90000,35,0.546296,0.119536,-15.8977,0.000474138
90000,36,0.62037,-0.265921,-13.8396,-0.29877
90000,37,0.50463,-0.392758,-12.716,-0.471827
90000,38,0.583333,0.0677641,-12.7873,-0.138449
90000,39,0.527778,-0.397409,-11.7261,-0.0806204
90000,40,0.476852,-0.872207,-10.595,1.10635
90000,41,0.523148,0.59698,-9.20372,-1.0649
90000,42,0.490741,-0.17822,-6.93996,0.401134
90000,43,0.578704,0.0263822,-7.30534,0.112424
90000,44,0.0972222,1.45508,-3.97113,1.59245
90000,45,1.66667,0,0,0
90000,46,-,-,-,-
90000,47,1.66667,0,0,0
90000,48,-,-,-,-
90000,49,-,-,-,-
100000,0,-,-,-,-
100000,1,1.66667,0,0,0
100000,2,-,-,-,-
100000,3,1.66667,0,0,0
100000,4,0.259259,-1.53199,-7.72901,1.0876
100000,5,0.50463,0.939825,-7.99101,0.0815819
100000,6,0.453704,-0.680575,-9.31617,-0.741945
100000,7,0.578704,-0.471936,-11.4853,-0.258367
100000,8,0.541667,0.252988,-12.1552,0.21263
100000,9,0.523148,-0.408448,-12.1845,-0.567218
100000,10,0.555556,-0.0671187,-12.3149,-0.673073
100000,11,0.560185,0.172388,-14.2109,0.0242658
100000,12,0.560185,0.340724,-15.5867,0.111379
100000,13,0.583333,-0.0701413,-17.3861,-0.124027
100000,14,0.611111,0.353129,-16.712,-0.414376
100000,15,0.583333,0.0496266,-16.4284,0.028296
100000,16,0.62963,-0.843309,-18.2912,-0.748032
100000,17,0.583333,0.65355,-16.7867,1.25251
100000,18,0.634259,-0.716829,-18.9569,0.122618
100000,19,0.597222,-0.251873,-18.1126,-0.492566
100000,20,0.662037,0.00075627,-19.3027,-0.363579
100000,21,0.569444,-0.60149,-20.0854,0.621738
100000,22,0.708333,-0.0756914,-20.8616,-0.0528906
100000,23,0.62037,0.561517,-19.6346,-0.1422
100000,24,0.694444,-0.0553384,-20.138,0.074956
100000,25,0.597222,0.193746,-19.6708,0.290306
100000,26,0.726852,0.129234,-19.6074,0.52959
100000,27,0.652778,-0.324555,-18.7363,0.550152
100000,28,0.648148,0.631331,-18.7058,0.208289
100000,29,0.601852,-0.50007,-19.0224,0.742521
100000,30,0.671296,-0.101359,-18.2064,0.138663
100000,31,0.564815,0.164265,-18.0553,0.169681
100000,32,0.606481,0.161722,-17.6534,1.03593
100000,33,0.587963,-0.958846,-16.6146,0.242159
100000,34,0.597222,0.0326396,-16.7789,-0.433938
100000,35,0.550926,0.529128,-15.9,-0.16178
100000,36,0.587963,-0.155721,-15.6639,-0.3892
100000,37,0.587963,0.0970735,-14.2383,1.01912
100000,38,0.444444,0.809662,-13.5576,-0.181767
100000,39,0.546296,-0.203028,-11.35,-0.324082
100000,40,0.513889,-0.270898,-10.4813,0.317328
100000,41,0.472222,-0.0776884,-11.5253,0.126841
100000,42,0.546296,-0.0849882,-10.6267,-0.599836
100000,43,0.564815,0.0935543,-8.62053,1.2934
100000,44,0.0648148,1.01803,-5.87866,-2.52995
100000,45,1.66667,0,0,0
100000,46,-,-,-,-
100000,47,1.66667,0,0,0
100000,48,-,-,-,-
100000,49,-,-,-,-
110000,0,-,-,-,-
110000,1,1.66667,0,0,0
110000,2,-,-,-,-
110000,3,1.66667,0,0,0
110000,4,0.291667,-0.899936,-9.04905,0.161955
110000,5,0.453704,0.80667,-8.61049,-0.111534
110000,6,0.523148,-0.161576,-10.1551,-0.791581
110000,7,0.439815,0.898636,-10.2581,0.292672
110000,8,0.523148,0.499278,-11.2698,-1.30149
110000,9,0.532407,-0.532683,-13.3556,-0.202086
110000,10,0.518519,0.260087,-15.7602,0.207375
110000,11,0.532407,0.413739,-14.7987,0.0159932
110000,12,0.606481,-0.940759,-16.0189,0.802076
110000,13,0.560185,-1.01853,-16.4086,-0.718218
110000,14,0.611111,0.148206,-17.3586,-0.529597
110000,15,0.597222,-0.613169,-17.3087,0.304401
110000,16,0.699074,-0.0747758,-18.2921,-0.560374
110000,17,0.583333,0.542055,-18.1467,0.73713
110000,18,0.648148,-0.460677,-19.2944,0.260011
110000,19,0.625,0.437618,-20.0591,0.484142
110000,20,0.601852,0.0541136,-20.1279,-0.234742
110000,21,0.597222,0.193802,-20.4383,-0.0458743
110000,22,0.675926,0.676929,-20.453,-0.194772
110000,23,0.694444,0.80933,-20.6705,-0.132442
